name,sector,industry
Advance Auto Parts Inc W/I,Consumer Cyclical,Retail - Apparel & Specialty
Alliance Data Systems Corporation,Financial Services,Credit Services
American International Group Inc.,Financial Services,Insurance
AmerisourceBergen Corporation,Healthcare,Medical Distribution
Capital One Financial Corporation,Financial Services,Credit Services
Chubb Limited,Financial Services,Insurance - Property & Casualty
CVS Health Corporation,Healthcare,Health Care Plans
Deere & Company,Industrials,Farm & Construction Machinery
Emerson Electric Company,Industrials,Industrial Products
Fifth Third Bancorp,Financial Services,Banks
Freeport-McMoRan Inc.,Basic Materials,Metals & Mining
Frontier Communications Corporation,Communication Services,Communication Services
Genworth Financial Inc,Financial Services,Insurance
Gilead Sciences Inc.,Healthcare,Biotechnology
McDonald's Corporation,Consumer Cyclical,Restaurants
NetApp Inc.,Technology,Computer Hardware
Newell Brands Inc.,Consumer Defensive,Consumer Packaged Goods
Pentair plc.,Industrials,Industrial Products
Public Storage,Real Estate,REITs
PVH Corp.,Consumer Cyclical,Manufacturing - Apparel & Furniture
Southwestern Energy Company,Energy,Oil & Gas - E&P
Texas Instruments Incorporated,Technology,Semiconductors
