step N days,distance,anomaly_detector,% of anomalies,avg number of anomalies,avg "true" anomalies percentage
10,corr,svm,0.01,6.09,0.1301
30,corr,svm,0.01,13.6,0.1401
50,corr,svm,0.01,16.52,0.1775
80,corr,svm,0.01,18.95,0.202
100,corr,svm,0.01,18.78,0.1936
200,corr,svm,0.01,18.4,0.1735
300,corr,svm,0.01,18.89,0.2055
500,corr,svm,0.01,17.2,0.1096
700,corr,svm,0.01,12.0,0.2375
1000,corr,svm,0.01,18.0,0.2222
10,corr,svm,0.02,7.45,0.1164
30,corr,svm,0.02,13.31,0.1358
50,corr,svm,0.02,16.82,0.1717
80,corr,svm,0.02,18.68,0.1989
100,corr,svm,0.02,19.19,0.1802
200,corr,svm,0.02,18.67,0.2057
300,corr,svm,0.02,18.44,0.2113
500,corr,svm,0.02,17.0,0.1331
700,corr,svm,0.02,15.33,0.3071
1000,corr,svm,0.02,16.0,0.3125
10,corr,svm,0.03,12.36,0.1251
30,corr,svm,0.03,14.4,0.1291
50,corr,svm,0.03,17.55,0.1635
80,corr,svm,0.03,19.4,0.1961
100,corr,svm,0.03,19.66,0.19
200,corr,svm,0.03,20.07,0.1689
300,corr,svm,0.03,19.67,0.2392
500,corr,svm,0.03,18.4,0.1318
700,corr,svm,0.03,16.0,0.2475
1000,corr,svm,0.03,17.0,0.3529
10,corr,svm,0.05,20.08,0.1208
30,corr,svm,0.05,20.69,0.145
50,corr,svm,0.05,21.94,0.1632
80,corr,svm,0.05,23.15,0.2003
100,corr,svm,0.05,23.75,0.1882
200,corr,svm,0.05,23.0,0.1798
300,corr,svm,0.05,24.11,0.2026
500,corr,svm,0.05,21.8,0.1375
700,corr,svm,0.05,21.33,0.2483
1000,corr,svm,0.05,21.0,0.0952
10,corr,svm,0.65,256.69,0.1097
30,corr,svm,0.65,256.95,0.1201
50,corr,svm,0.65,256.85,0.118
80,corr,svm,0.65,256.77,0.1262
100,corr,svm,0.65,256.53,0.1143
200,corr,svm,0.65,256.2,0.1217
300,corr,svm,0.65,256.67,0.0973
500,corr,svm,0.65,257.2,0.0755
700,corr,svm,0.65,256.67,0.109
1000,corr,svm,0.65,258.0,0.1318
10,corr,svm,0.08,31.72,0.1164
30,corr,svm,0.08,32.2,0.1345
50,corr,svm,0.08,33.14,0.1581
80,corr,svm,0.08,33.22,0.1941
100,corr,svm,0.08,33.66,0.179
200,corr,svm,0.08,33.33,0.1976
300,corr,svm,0.08,33.0,0.1915
500,corr,svm,0.08,33.0,0.121
700,corr,svm,0.08,32.67,0.214
1000,corr,svm,0.08,33.0,0.1212
10,corr,svm,0.1,39.72,0.1181
30,corr,svm,0.1,39.69,0.1399
50,corr,svm,0.1,40.57,0.1596
80,corr,svm,0.1,40.72,0.1805
100,corr,svm,0.1,41.03,0.1822
200,corr,svm,0.1,40.4,0.1922
300,corr,svm,0.1,40.22,0.1645
500,corr,svm,0.1,41.8,0.1286
700,corr,svm,0.1,39.67,0.1815
1000,corr,svm,0.1,37.0,0.1622
10,corr,svm,0.15,59.32,0.1182
30,corr,svm,0.15,59.32,0.1397
50,corr,svm,0.15,59.57,0.1529
80,corr,svm,0.15,60.2,0.1705
100,corr,svm,0.15,59.59,0.1695
200,corr,svm,0.15,60.53,0.1802
300,corr,svm,0.15,59.22,0.1596
500,corr,svm,0.15,59.8,0.127
700,corr,svm,0.15,60.33,0.1601
1000,corr,svm,0.15,61.0,0.1311
10,corr,svm,0.2,78.98,0.1184
30,corr,svm,0.2,79.27,0.1358
50,corr,svm,0.2,79.66,0.1478
80,corr,svm,0.2,79.62,0.1645
100,corr,svm,0.2,78.94,0.1615
200,corr,svm,0.2,79.87,0.1777
300,corr,svm,0.2,78.44,0.163
500,corr,svm,0.2,80.6,0.1158
700,corr,svm,0.2,79.67,0.1552
1000,corr,svm,0.2,76.0,0.1842
10,corr,lof,0.01,3.99,0.1059
30,corr,lof,0.01,4.0,0.0477
50,corr,lof,0.01,4.0,0.05
80,corr,lof,0.01,4.0,0.0688
100,corr,lof,0.01,4.0,0.0391
200,corr,lof,0.01,4.0,0.0167
300,corr,lof,0.01,4.0,0.0278
500,corr,lof,0.01,4.0,0.0
700,corr,lof,0.01,4.0,0.0
1000,corr,lof,0.01,4.0,0.0
10,corr,lof,0.02,8.0,0.1055
30,corr,lof,0.02,8.0,0.0557
50,corr,lof,0.02,8.0,0.0577
80,corr,lof,0.02,8.0,0.0562
100,corr,lof,0.02,8.0,0.0391
200,corr,lof,0.02,8.0,0.0333
300,corr,lof,0.02,8.0,0.0139
500,corr,lof,0.02,8.0,0.0
700,corr,lof,0.02,8.0,0.0
1000,corr,lof,0.02,8.0,0.0
10,corr,lof,0.03,12.0,0.1059
30,corr,lof,0.03,12.0,0.0659
50,corr,lof,0.03,12.0,0.0615
80,corr,lof,0.03,12.0,0.0562
100,corr,lof,0.03,12.0,0.0312
200,corr,lof,0.03,12.0,0.0389
300,corr,lof,0.03,12.0,0.0093
500,corr,lof,0.03,12.0,0.0
700,corr,lof,0.03,12.0,0.0
1000,corr,lof,0.03,12.0,0.0
10,corr,lof,0.05,20.0,0.1072
30,corr,lof,0.05,20.0,0.0791
50,corr,lof,0.05,20.0,0.06
80,corr,lof,0.05,20.0,0.0625
100,corr,lof,0.05,20.0,0.0266
200,corr,lof,0.05,20.0,0.0333
300,corr,lof,0.05,20.0,0.0111
500,corr,lof,0.05,20.0,0.0
700,corr,lof,0.05,20.0,0.0
1000,corr,lof,0.05,20.0,0.0
