per_out,detector,avg number,avg true percentage,avg true number,proportion
0.005,svm,14.0,18.3,2.5,36.5
0.01,svm,14.0,17.6,2.4,17.6
0.015,svm,14.0,26.0,3.7,17.3
0.02,svm,13.0,16.9,2.3,8.5
0.025,svm,14.0,21.9,3.0,8.7
0.03,svm,16.0,27.1,4.2,9.0
0.035,svm,17.0,30.2,5.2,8.6
0.04,svm,19.0,33.2,6.3,8.3
0.045,svm,20.0,34.5,6.9,7.7
0.05,svm,22.0,37.4,8.2,7.5
0.055,svm,23.0,37.3,8.7,6.8
0.06,svm,26.0,39.9,10.3,6.6
0.065,svm,27.0,42.0,11.4,6.5
0.07,svm,29.0,43.4,12.5,6.2
0.075,svm,30.0,43.0,13.1,5.7
0.08,svm,32.0,46.0,14.8,5.7
0.085,svm,34.0,45.6,15.3,5.4
0.09,svm,35.0,47.3,16.8,5.3
0.095,svm,37.0,48.8,18.3,5.1
0.1,svm,39.0,49.8,19.4,5.0
0.105,svm,41.0,49.2,20.4,4.7
0.11,svm,43.0,51.1,22.0,4.6
0.115,svm,45.0,50.0,22.4,4.3
0.12,svm,47.0,51.2,24.3,4.3
0.125,svm,49.0,51.5,25.1,4.1
0.13,svm,51.0,51.1,26.0,3.9
0.135,svm,53.0,52.9,27.9,3.9
0.14,svm,55.0,52.4,28.8,3.7
0.145,svm,57.0,53.5,30.2,3.7
0.15,svm,58.0,53.9,31.5,3.6
0.155,svm,61.0,53.9,32.7,3.5
0.16,svm,62.0,55.2,34.4,3.4
0.165,svm,64.0,54.9,35.3,3.3
0.17,svm,67.0,55.6,37.1,3.3
0.175,svm,68.0,55.8,38.1,3.2
0.18,svm,70.0,55.8,39.2,3.1
0.185,svm,72.0,55.4,39.8,3.0
0.19,svm,74.0,56.3,41.9,3.0
0.195,svm,76.0,56.7,43.0,2.9
0.2,svm,78.0,57.2,44.4,2.9
0.205,svm,80.0,57.1,45.5,2.8
0.21,svm,81.0,56.7,46.1,2.7
0.215,svm,84.0,57.3,47.9,2.7
0.22,svm,86.0,57.7,49.4,2.6
0.225,svm,88.0,58.2,51.0,2.6
0.23,svm,89.0,58.4,52.2,2.5
0.235,svm,91.0,58.9,53.9,2.5
0.24,svm,93.0,58.9,55.0,2.5
0.245,svm,96.0,59.2,56.6,2.4
0.25,svm,97.0,59.2,57.3,2.4
0.255,svm,99.0,59.8,59.3,2.3
0.26,svm,101.0,60.2,61.1,2.3
0.265,svm,103.0,59.9,61.6,2.3
0.27,svm,105.0,60.0,62.8,2.2
0.275,svm,107.0,60.6,64.7,2.2
0.28,svm,109.0,60.4,65.7,2.2
0.285,svm,110.0,61.1,67.5,2.1
0.29,svm,113.0,61.6,69.6,2.1
0.295,svm,115.0,62.0,71.3,2.1
0.3,svm,116.0,62.0,72.1,2.1
0.305,svm,118.0,62.0,73.3,2.0
0.31,svm,120.0,62.6,75.2,2.0
0.315,svm,122.0,62.5,76.2,2.0
0.32,svm,124.0,63.2,78.5,2.0
0.325,svm,126.0,63.5,80.1,2.0
0.33,svm,128.0,63.9,82.0,1.9
0.335,svm,130.0,64.4,83.5,1.9
0.34,svm,132.0,64.4,85.1,1.9
0.345,svm,134.0,65.0,87.0,1.9
0.35,svm,136.0,65.2,88.6,1.9
0.355,svm,138.0,65.5,90.2,1.8
0.36,svm,140.0,66.2,92.7,1.8
0.365,svm,142.0,66.5,94.4,1.8
0.37,svm,143.0,66.7,95.5,1.8
0.375,svm,146.0,67.0,97.5,1.8
0.38,svm,147.0,67.4,99.3,1.8
0.385,svm,149.0,67.7,100.9,1.8
0.39,svm,152.0,68.0,103.0,1.7
0.395,svm,153.0,68.4,105.0,1.7
0.4,svm,156.0,68.8,107.0,1.7
